pubmedid,title,abstract,pub_year
38166464,Gpnmb silencing protects against hyperoxia-induced acute lung injury by inhibition of mitochondrial-mediated apoptosis.,,2024
38117383,Disrupting Development: Unraveling the Interplay of Aryl Hydrocarbon Receptor (AHR) and Wnt/β-Catenin Pathways in Kidney Development Under the Influence of Environmental Pollutants.,"Understanding the intricate molecular mechanisms governing aryl hydrocarbon receptor (AHR) and Wnt/β-Catenin pathways crosstalk is of paramount importance for elucidating normal development. We investigated the repercussions of aberrant activation of these signaling pathways on kidney development. HEK-293 cells were subjected to AHR and Wnt activators and inhibitors for 3 and 24 h. Subsequently, pregnant adult female BALB/c mice were administered treatments at gestation day 9 (GD-9), and embryos were analyzed at GD-18 using a combination of cellular, molecular, stereological, and histopathological techniques. Our results demonstrated a noteworthy escalation in oxidative stress and gene expression endpoints associated with apoptosis. Moreover, stereological analyses exhibited alterations in cortex, proximal tubule, and kidney tissue vessels volumes. Remarkably, co-treatment with 6-formylindolo [3,2-b] carbazole (FICZ) and cadmium (Cd) resulted in a significant reduction in glomerulus volume, while elevating the volumes of distal tubule, Henle loop, and connective tissue, compared to the control group. Histopathological investigations further confirmed structural changes in the loop of Henle and proximal tubule, alongside a decline in glomerular volume. Additionally, the expression levels of AHR and Ctnnb1 genes significantly increased in the Cd-treated group compared to the control group. Enhanced expression of apoptosis-related genes, including Bcl-x, Bax, and Caspase3, along with alterations in mitochondrial membrane potential and cytochrome C release, was observed. In contrast, Gsk3 gene expression was significantly decreased. Our findings robustly establish that chemical pollutants, such as Cd, disrupt the AHR and Wnt/β-Catenin physiological roles during developmental stages by inhibiting the metabolic degradation of FICZ.",2023
38053351,Gamma-mangostin Protects S16Y Schwann Cells Against ,"Peripheral neuropathy is a common complication that affects individuals with diabetes. Its development involves an excessive presence of oxidative stress, which leads to cellular damage in various tissues. Schwann cells, which are vital for peripheral nerve conduction, are particularly susceptible to oxidative damage, resulting in cell death.",2023
38024975,Tetrazole and acylsulfonamide bioisosteric replacements of the carboxylic acid in a dual MCL-1/BCL-x,"Overexpression of the anti-apoptotic protein MCL-1 is associated with a plethora of human cancers, and it reduces the sensitivity of cancer cells to approved chemotherapies. Accordingly, the discovery of MCL-1 inhibitors is an active area of interest. Many inhibitors of the anti-apoptotic MCL-1 protein bear a crucial carboxylic acid that may engage Arg263 in the BH3-binding groove. We previously described the salicylic acid-based dual MCL-1/BCL-x",2023
37945692,BH3 mimetics and azacitidine show synergistic effects on juvenile myelomonocytic leukemia.,"Juvenile myelomonocytic leukemia (JMML) is an aggressive hematopoietic disorder of infancy and early childhood driven by constitutively active RAS signaling and characterized by abnormal proliferation of the granulocytic-monocytic blood cell lineage. Most JMML patients require hematopoietic stem cell transplantation for cure, but the risk of relapse is high for some JMML subtypes. Azacitidine was shown to effectively reduce leukemic burden in a subset of JMML patients. However, variable response rates to azacitidine and the risk of drug resistance highlight the need for novel therapeutic approaches. Since RAS signaling is known to interfere with the intrinsic apoptosis pathway, we combined various BH3 mimetic drugs with azacitidine in our previously established patient-derived xenograft model. We demonstrate that JMML cells require both MCL-1 and BCL-X",2024
37943248,Elucidating the interaction of C-terminal domain of Vaccinia-Related Kinase 2A (VRK2A) with B-cell lymphoma-extra Large (Bcl-xL) to decipher its anti-apoptotic role in cancer.,"Vaccinia-Related Kinase 2 (VRK2) is an anti-apoptotic Ser/Thr kinase that enhances drug sensitivity in cancer cells. This protein exists in two isoforms: VRK2A, the longer variant, and VRK2B, which lacks the C-terminal region and transmembrane domain. While the therapeutic importance of VRK2 family proteins is known, the specific roles of VRK2A and its interplay with apoptotic regulator Bcl-xL (B-cell lymphoma-extra Large) remain elusive. Bcl-xL regulates cell death by interacting with BAX (B-cell lymphoma-2 Associated X-protein), controlling its cellular localization and influencing BAX-associated processes and signaling pathways. As VRK2A interacts with the Bcl-xL-BAX complex, comprehending its regulatory engagement with Bcl-xL presents potential avenues for intervening in diseases. Using a multi-disciplinary approach, this study provides information on the cellular localization of VRK2A and establishes its interaction with Bcl-xL in the cellular milieu, pinpointing the interacting site and elucidating its anti-apoptotic property within the complex. Furthermore, this study also put forth a model that highlights the importance of VRK2A in stabilizing the ternary complex, formed with Bcl-xL and BAX, thereby impeding BAX dissociation and hence apoptosis. Therefore, further investigations associated with this important revelation will provide cues for designing cancer therapeutics in the future.",2023
37904054,ATP1A1/BCL2L1 predicts the response of myelomonocytic and monocytic acute myeloid leukemia to cardiac glycosides.,"Myelomonocytic and monocytic acute myeloid leukemia (AML) subtypes are intrinsically resistant to venetoclax-based regimens. Identifying targetable vulnerabilities would limit resistance and relapse. We previously documented the synergism of venetoclax and cardiac glycoside (CG) combination in AML. Despite preclinical evidence, the repurposing of cardiac glycosides (CGs) in cancer therapy remained unsuccessful due to a lack of predictive biomarkers. We report that the ex vivo response of AML patient blasts and the in vitro sensitivity of established cell lines to the hemi-synthetic CG UNBS1450 correlates with the ATPase Na",2024
37898609,The identification of BCL-XL and MCL-1 as key anti-apoptotic proteins in medulloblastoma that mediate distinct roles in chemotherapy resistance.,"Medulloblastoma is the most common malignant paediatric brain tumour, representing 20% of all paediatric intercranial tumours. Current aggressive treatment protocols and the use of radiation therapy in particular are associated with high levels of toxicity and significant adverse effects, and long-term sequelae can be severe. Therefore, improving chemotherapy efficacy could reduce the current reliance on radiation therapy. Here, we demonstrated that systems-level analysis of basal apoptosis protein expression and their signalling interactions can differentiate between medulloblastoma cell lines that undergo apoptosis in response to chemotherapy, and those that do not. Combining computational predictions with experimental BH3 profiling, we identified a therapeutically-exploitable dependence of medulloblastoma cells on BCL-XL, and experimentally validated that BCL-XL targeting, and not targeting of BCL-2 or MCL-1, can potentiate cisplatin-induced cytotoxicity in medulloblastoma cell lines with low sensitivity to cisplatin treatment. Finally, we identified MCL-1 as an anti-apoptotic mediator whose targeting is required for BCL-XL inhibitor-induced apoptosis. Collectively, our study identifies that BCL-XL and MCL-1 are the key anti-apoptotic proteins in medulloblastoma, which mediate distinct protective roles. While BCL-XL has a first-line role in protecting cells from apoptosis basally, MCL-1 represents a second line of defence that compensates for BCL-XL upon its inhibition. We provide rationale for the further evaluation of BCL-XL and MCL-1 inhibitors in the treatment of medulloblastoma, and together with current efforts to improve the cancer-specificity of BCL-2 family inhibitors, these novel treatment strategies have the potential to improve the future clinical management of medulloblastoma.",2023
37846959,Molecular mechanism of ,,2023
37824434,BCL-xL Targeting to Induce Apoptosis and to Eliminate Chemotherapy-Induced Senescent Tumor Cells: From Navitoclax to Platelet-Sparing BCL-xL PROTACs.,"Restoring apoptotic cell death is a critical goal for cancer therapy. One of the primary mechanisms by which cancer cells evade death and maintain survival in the face of stress signals is by overexpression of prosurvival B-cell lymphoma 2 (BCL2) family members such as BCL2, BCL-xL, and MCL1, which suppress the intrinsic (mitochondrial) pathway of apoptosis through complex protein and membrane interactions. While these antiapoptotic proteins have been validated as potent therapeutic targets, synthesis of their inhibitors remained challenging for decades mainly due to the presence of a difficult to target, highly hydrophobic groove on the surface. The groove serves as a binding site for the BH3 domain of corresponding proapoptotic partners, which leads to their sequestration and prevents apoptosis. In 2008, a Cancer Research article by Tse and colleagues, led by Dr. Steven Elmore from Abbott Laboratories, reported the discovery of the first orally bioavailable BCL2/BCL-xL inhibitor, navitoclax (ABT-263), marking the onset of an era of ""BH3 mimetics"" in cancer therapeutics and changing the therapeutic landscape especially for leukemia. Here, we reflect on how this landmark study fueled development of small-molecule BH3 mimetics like venetoclax and seek to indicate new strategies and future directions for improving the clinical activity of navitoclax for hematologic malignancies. See related article by Tse and colleagues, Cancer Res 2008;68:3421-3428.",2023
37811881,Alternative splicing of BCL-x is controlled by RBM25 binding to a G-quadruplex in BCL-x pre-mRNA.,"BCL-x is a master regulator of apoptosis whose pre-mRNA is alternatively spliced into either a long (canonical) anti-apoptotic Bcl-xL isoform, or a short (alternative) pro-apoptotic Bcl-xS isoform. The balance between these two antagonistic isoforms is tightly regulated and overexpression of Bcl-xL has been linked to resistance to chemotherapy in several cancers, whereas overexpression of Bcl-xS is associated to some forms of diabetes and cardiac disorders. The splicing factor RBM25 controls alternative splicing of BCL-x: its overexpression favours the production of Bcl-xS, whereas its downregulation has the opposite effect. Here we show that RBM25 directly and specifically binds to GQ-2, an RNA G-quadruplex (rG4) of BCL-x pre-mRNA that forms at the vicinity of the alternative 5' splice site leading to the alternative Bcl-xS isoform. This RBM25/rG4 interaction is crucial for the production of Bcl-xS and depends on the RE (arginine-glutamate-rich) motif of RBM25, thus defining a new type of rG4-interacting domain. PhenDC3, a benchmark G4 ligand, enhances the binding of RBM25 to the GQ-2 rG4 of BCL-x pre-mRNA, thereby promoting the alternative pro-apoptotic Bcl-xS isoform and triggering apoptosis. Furthermore, the screening of a combinatorial library of 90 putative G4 ligands led to the identification of two original compounds, PhenDH8 and PhenDH9, superior to PhenDC3 in promoting the Bcl-xS isoform and apoptosis. Thus, favouring the interaction between RBM25 and the GQ-2 rG4 of BCL-x pre-mRNA represents a relevant intervention point to re-sensitize cancer cells to chemotherapy.",2023
37751299,Hyperphosphorylation of BCL-2 family proteins underlies functional resistance to venetoclax in lymphoid malignancies.,"The B cell leukemia/lymphoma 2 (BCL-2) inhibitor venetoclax is effective in chronic lymphocytic leukemia (CLL); however, resistance may develop over time. Other lymphoid malignancies such as diffuse large B cell lymphoma (DLBCL) are frequently intrinsically resistant to venetoclax. Although genomic resistance mechanisms such as BCL2 mutations have been described, this probably only explains a subset of resistant cases. Using 2 complementary functional precision medicine techniques - BH3 profiling and high-throughput kinase activity mapping - we found that hyperphosphorylation of BCL-2 family proteins, including antiapoptotic myeloid leukemia 1 (MCL-1) and BCL-2 and proapoptotic BCL-2 agonist of cell death (BAD) and BCL-2 associated X, apoptosis regulator (BAX), underlies functional mechanisms of both intrinsic and acquired resistance to venetoclax in CLL and DLBCL. Additionally, we provide evidence that antiapoptotic BCL-2 family protein phosphorylation altered the apoptotic protein interactome, thereby changing the profile of functional dependence on these prosurvival proteins. Targeting BCL-2 family protein phosphorylation with phosphatase-activating drugs rewired these dependencies, thus restoring sensitivity to venetoclax in a panel of venetoclax-resistant lymphoid cell lines, a resistant mouse model, and in paired patient samples before venetoclax treatment and at the time of progression.",2023
37723317,Increased MCL1 dependency leads to new applications of BH3-mimetics in drug-resistant neuroblastoma.,"Neuroblastoma is a paediatric cancer that is characterised by poor prognosis for chemoresistant disease, highlighting the need for better treatment options. Here, we asked whether BH3-mimetics inhibiting BCL2 proteins may eliminate chemoresistant neuroblastoma cells.",2023
37704591,Dinaciclib synergizes with BH3 mimetics targeting BCL-2 and BCL-X,"A better understanding of multiple myeloma (MM) biology has led to the development of novel therapies. However, MM is still an incurable disease and new pharmacological strategies are needed. Dinaciclib, a multiple cyclin-dependent kinase (CDK) inhibitor, which inhibits CDK1, 2, 5 and 9, displays significant antimyeloma activity as found in phase II clinical trials. In this study, we have explored the mechanism of dinaciclib-induced death and evaluated its enhancement by different BH3 mimetics in MM cell lines as well as in plasma cells from MM patients. Our results indicate a synergistic effect of dinaciclib-based combinations with B-cell lymphoma 2 or B-cell lymphoma extra-large inhibitors, especially in MM cell lines with partial dependence on myeloid cell leukemia sequence 1 (MCL-1). Simultaneous treatment with dinaciclib and BH3 mimetics ABT-199 or A-1155463 additionally showed a synergistic effect in plasma cells from MM patients, ex vivo. Altered MM cytogenetics did not affect dinaciclib response ex vivo, alone or in combined treatment, suggesting that these combinations could be a suitable therapeutic option for patients bearing cytogenetic alterations and poor prognosis. This work also opens the possibility to explore cyclin-dependent kinase 9 inhibition as a targeted therapy in MM patients overexpressing or with high dependence on MCL-1.",2023
37553948,"Crystal structure of Bak bound to the BH3 domain of Bnip5, a noncanonical BH3 domain-containing protein.","The activation or inactivation of B-cell lymphoma-2 (Bcl-2) antagonist/killer (Bak) is critical for controlling mitochondrial outer membrane permeabilization-dependent apoptosis. Its pro-apoptotic activity is controlled by intermolecular interactions with the Bcl-2 homology 3 (BH3) domain, which is accommodated in the hydrophobic pocket of Bak. Bcl-2-interacting protein 5 (Bnip5) is a noncanonical BH3 domain-containing protein that interacts with Bak. Bnip5 is characterized by its controversial effects on the regulation of the pro-apoptotic activity of Bak. In the present study, we determined the crystal structure of Bak bound to Bnip5 BH3. The intermolecular association appeared to be typical at first glance, but we found that it is maintained by tight hydrophobic interactions together with hydrogen/ionic bonds, which accounts for their high binding affinity with a dissociation constant of 775 nM. Structural analysis of the complex showed that Bnip5 interacts with Bak in a manner similar to that of the Bak-activating pro-apoptotic factor peroxisomal testis-enriched protein 1, particularly in the destabilization of the intramolecular electrostatic network of Bak. Our structure is considered to reflect the initial point of drastic and consecutive conformational and stoichiometric changes in Bak induced by Bnip5 BH3, which helps in explaining the effects of Bnip5 in regulating Bak-mediated apoptosis.",2024
37550099,The potential for citrate to reinforce epigenetic therapy by promoting apoptosis.,"Epigenetic drugs induce ATP depletion, promoting a glycolysis-to-oxidative phosphorylation (OXPHOS) shift which sometimes favors tumor growth by promoting necroptosis over apoptosis. To restore effective apoptosis in tumors, we propose that the administration of citrate could inhibit ATP production, activate caspase-8 (a key necroptosis inhibitor), and downregulate key anti-apoptotic proteins (Bcl-xL and MCL1).",2023
37511611,"Sertindole, an Antipsychotic Drug, Curbs the STAT3/BCL-xL Axis to Elicit Human Bladder Cancer Cell Apoptosis In Vitro.","Bladder cancer is the leading urinary tract malignancy. Epidemiological evidence has linked lower cancer incidence in schizophrenia patients to long-term medication, highlighting the anticancer potential of antipsychotics. Sertindole is an atypical antipsychotic agent with reported anticancer action on breast and gastric cancers. Yet, sertindole's effect on bladder cancer remains unaddressed. We herein present the first evidence of sertindole's antiproliferative effect and mechanisms of action on human bladder cancer cells. Sertindole was cytotoxic against bladder cancer cells while less cytotoxic to normal urothelial cells. Apoptosis was a primary cause of sertindole's cytotoxicity, as the pan-caspase inhibitor z-VAD-fmk rescued cells from sertindole-induced killing. Mechanistically, sertindole inhibited the activation of signal transducer and activator of transcription 3 (STAT3), an oncogenic driver of bladder cancer, as sertindole lowered the levels of tyrosine 705-phosphorylated STAT3 along with that of STAT3's target gene BCL-xL. Notably, ectopic expression of the dominant-active STAT3 mutant impaired sertindole-induced apoptosis in addition to restoring BCL-xL expression. Moreover, bladder cancer cells overexpressing BCL-xL were refractory to sertindole's proapoptotic action, arguing that sertindole represses STAT3 to downregulate BCL-xL, culminating in the induction of apoptosis. Overall, the current study indicated sertindole exerts bladder cancer cytotoxicity by provoking apoptosis through targeted inhibition of the antiapoptotic STAT3/BCL-xL signaling axis. These findings implicate the potential to repurpose sertindole as a therapeutic strategy for bladder cancer.",2023
37451322,Amsacrine downregulates BCL2L1 expression and triggers apoptosis in human chronic myeloid leukemia cells through the SIDT2/NOX4/ERK/HuR pathway.,"Accumulating evidence indicates that the anticancer activity of acridine derivatives is mediated through the regulation of anti-apoptotic and pro-apoptotic BCL2 protein expression. Therefore, we investigated whether the cytotoxicity of amsacrine with an acridine structural scaffold in human chronic myeloid leukemia (CML) K562 cells was mediated by BCL2 family proteins. Amsacrine induced apoptosis, mitochondrial depolarization, and BCL2L1 (also known as BCL-XL) downregulation in K562 cells. BCL2L1 overexpression inhibited amsacrine-induced cell death and mitochondrial depolarization. Amsacrine treatment triggered SIDT2-mediated miR-25 downregulation, leading to increased NOX4-mediated ROS production. ROS-mediated inactivation of ERK triggered miR-22 expression, leading to increased HuR mRNA decay. As HuR is involved in stabilizing BCL2L1 mRNA, downregulation of BCL2L1 was noted in K562 cells after amsacrine treatment. In contrast, amsacrine-induced BCL2L1 downregulation was alleviated by restoring ERK phosphorylation and HuR expression. Altogether, the results of this study suggest that amsacrine triggers apoptosis in K562 cells by inhibiting BCL2L1 expression through the SIDT2/NOX4/ERK-mediated downregulation of HuR. Furthermore, a similar pathway also explains the cytotoxicity of amsacrine in CML MEG-01 and KU812 cells.",2023
37424800,THOC2 expression and its impact on 5-fluorouracil resistance in glioblastoma multiforme.,"Glioblastoma multiforme (GBM) is a highly aggressive brain tumor with poor prognosis and limited treatment options. While 5-fluorouracil (5-FU) has not been widely employed in GBM therapy, emerging research indicates its potential for effectiveness when combined with advanced drug delivery systems to improve its transport to brain tumors. This study aims to investigate the role of THOC2 expression in 5-FU resistance in GBM cell lines. We evaluated diverse GBM cell lines and primary glioma cells for 5-FU sensitivity, cell doubling times, and gene expression. We observed a significant correlation between THOC2 expression and 5-FU resistance. To further investigate this correlation, we selected five GBM cell lines and developed 5-FU resistant GBM cells, including T98FR cells, through long-term 5-FU treatment. In 5-FU challenged cells, THOC2 expression was upregulated, with the highest increase in T98FR cells. THOC2 knockdown in T98FR cells reduced 5-FU IC50 values, confirming its role in 5-FU resistance. In a mouse xenograft model, THOC2 knockdown attenuated tumor growth and extended survival duration after 5-FU treatment. RNA sequencing identified differentially expressed genes and alternative splicing variants in T98FR/shTHOC2 cells. THOC2 knockdown altered Bcl-x splicing, increasing pro-apoptotic Bcl-xS expression, and impaired cell adhesion and migration by reducing L1CAM expression. These results suggest that THOC2 plays a crucial role in 5-FU resistance in GBM and that targeting THOC2 expression could be a potential therapeutic strategy for improving the efficacy of 5-FU-based combination therapies in GBM patients.",2023
37371456,Bcl-xL Is Spontaneously Inserted into Preassembled Nanodiscs and Stimulates Bax Insertion in a Cell-Free Protein Synthesis System.,"The antiapoptotic protein Bcl-xL is a major regulator of cell death and survival, but many aspects of its functions remain elusive. It is mostly localized in the mitochondrial outer membrane (MOM) owing to its C-terminal hydrophobic α-helix. In order to gain further information about its membrane organization, we set up a model system combining cell-free protein synthesis and nanodisc insertion. We found that, contrary to its proapoptotic partner Bax, neosynthesized Bcl-xL was spontaneously inserted into nanodiscs. The deletion of the C-terminal α-helix of Bcl-xL prevented nanodisc insertion. We also found that nanodisc insertion protected Bcl-xL against the proteolysis of the 13 C-terminal residues that occurs during expression of Bcl-xL as a soluble protein in ",2023
37271936,Anti-apoptotic protein BCL-XL as a therapeutic vulnerability in gastric cancer.,"New therapeutic targets are needed to improve the outcomes for gastric cancer (GC) patients with advanced disease. Evasion of programmed cell death (apoptosis) is a hallmark of cancer cells and direct induction of apoptosis by targeting the pro-survival BCL2 family proteins represents a promising therapeutic strategy for cancer treatment. Therefore, understanding the molecular mechanisms underpinning cancer cell survival could provide a molecular basis for potential therapeutic interventions.",2023
